timestamp,open,high,low,close,volume
2025-05-12 03:14:31.458421,29999.900745528896,30029.909921398572,29985.416433998213,30000.275411468767,177
2025-05-12 03:19:31.458421,30000.656534761358,30045.84707434086,29960.171043606657,30002.755710780384,254
2025-05-12 03:24:31.458421,30003.253017782517,30005.532210359732,29998.24363955551,30002.291658645434,491
2025-05-12 03:29:31.458421,30003.486190882675,30050.53886840591,29990.505854509134,30001.571698497457,414
2025-05-12 03:34:31.458421,30002.328579208923,30030.947407076765,29980.490201603665,30001.849148901612,374
2025-05-12 03:39:31.458421,30004.27935447276,30019.107032976055,29997.678834694598,30004.35221430162,415
2025-05-12 03:44:31.458421,30003.69808755346,30044.3571862711,29992.92029590679,30002.37454914039,104
2025-05-12 03:49:31.458421,30002.94769034652,30035.451122305913,29960.40312119509,30001.21695712508,432
2025-05-12 03:54:31.458421,30001.365240082334,30051.992933584253,29984.04623876826,30004.30707384888,380
2025-05-12 03:59:31.458421,30001.767901906605,30007.712468235062,29991.40390508342,30001.097846920395,469
2025-05-12 04:04:31.458421,30002.58817695398,30030.191153325555,29958.838585821348,30002.658872711883,124
2025-05-12 04:09:31.458421,29999.69635529908,30024.581758186163,29972.171617180342,30001.081406999867,312
2025-05-12 04:14:31.458421,30001.210401817756,30033.19506078568,29968.895697621763,29999.519423527407,148
2025-05-12 04:19:31.458421,30000.759400962637,30013.277945793776,29956.7385659051,30002.851373490474,347
2025-05-12 04:24:31.458421,30000.523414119252,30001.076707730354,29963.82225161102,29999.316750955415,263
2025-05-12 04:29:31.458421,29998.041847913053,30026.031643159055,29985.564392109187,29997.812477993666,329
2025-05-12 04:34:31.458421,30000.020361161347,30018.20692547085,29999.486001114576,30000.036826090512,167
2025-05-12 04:39:31.458421,29999.80234564996,30046.445411303386,29974.35557456201,30003.115193276753,226
2025-05-12 04:44:31.458421,30000.275631630648,30023.284847718707,29964.941256716174,30001.001311297994,431
2025-05-12 04:49:31.458421,30002.03695827101,30021.89512049351,29960.677685009665,30001.788660287602,176
2025-05-12 04:54:31.458421,29998.48094820617,30031.627084645996,29990.448990896533,30001.73614393069,233
2025-05-12 04:59:31.458421,30000.310698886202,30025.48389609906,29967.414240650498,29999.33951843626,118
2025-05-12 05:04:31.458421,29997.537994026497,30046.313632277182,29951.325428563006,29998.628890053886,401
2025-05-12 05:09:31.458421,29997.77932881424,30037.281073067126,29984.921248127048,29997.604583173816,328
2025-05-12 05:14:31.458421,29996.052423805457,30023.661782622356,29984.20298418469,29997.372313295124,344
2025-05-12 05:19:31.458421,30000.618056568357,30010.096478481813,29978.257227835144,29999.39489377732,322
2025-05-12 05:24:31.458421,29998.7228867634,30029.797779735138,29971.039642600535,30001.21555148583,125
2025-05-12 05:29:31.458421,29998.697152482648,30036.664052329583,29949.73248413569,29997.50420817373,387
2025-05-12 05:34:31.458421,29997.960334945765,30037.031742207808,29969.828570009544,30000.582496779436,129
2025-05-12 05:39:31.458421,29998.139850756565,30048.80782059935,29954.73765035457,29999.394159776617,141
2025-05-12 05:44:31.458421,30001.069101409812,30010.850562589185,29967.115109569975,29999.015154168254,457
2025-05-12 05:49:31.458421,29998.78502929393,30020.575968569137,29975.655158186888,29999.359571383146,274
2025-05-12 05:54:31.458421,30000.18290792269,30020.48038712416,29984.010480497574,30001.06422911305,293
2025-05-12 05:59:31.458421,29999.01063600591,30015.119161256207,29981.677860467255,29998.613706183714,333
2025-05-12 06:04:31.458421,29999.480614689794,30017.40118216796,29960.27781660888,29999.925124834135,234
2025-05-12 06:09:31.458421,29998.87743875052,30023.280814385034,29990.5082965138,30000.51526285354,297
2025-05-12 06:14:31.458421,30000.00857299081,30026.685929424697,29992.68464105104,29998.68431497334,235
2025-05-12 06:19:31.458421,30003.50482713073,30014.17776987643,29990.264009330367,30001.54896940704,225
2025-05-12 06:24:31.458421,30001.48227495359,30007.54756833143,29967.383709931706,30001.364537091435,131
2025-05-12 06:29:31.458421,30002.896754024154,30017.485219118895,29983.820666881486,30001.916761821947,429
2025-05-12 06:34:31.458421,30001.60911038045,30008.90906590216,29991.759927281953,30002.770047125472,298
2025-05-12 06:39:31.458421,30002.618238533476,30017.492339961445,29985.072109633416,30001.246135608566,245
2025-05-12 06:44:31.458421,30003.067268953462,30035.667202026125,29997.626589861815,30001.130638048096,342
